연번,업종명,업소명,소     재     지,면적(㎡)
309,일반음식점,인도네팔레스토랑(First Nepal Restaurant), 청주시 서원구 내수동로114번길 7 (사창동 (2층)),
310,일반음식점,빨봉분식충북대점, 청주시 서원구 1순환로672번길 51  2층 (사창동),
311,일반음식점,모리스시, 청주시 서원구 1순환로 641-1 (사창동 (1층)),
312,일반음식점,마루(회덮밥전문점), 청주시 서원구 1순환로672번길 62 (사창동 (1층)),
313,일반음식점,도누가그릴2, 청주시 서원구 내수동로108번길 15 (사창동  (지하1층)),
314,일반음식점,토리덴2, 청주시 서원구 1순환로672번길 30 (사창동 (1층)),
315,일반음식점,돈스치킨, 청주시 서원구 성봉로169번길 41-4 (개신동 (1층)),
316,일반음식점,비비큐(BBQ)사직.사창점, 청주시 서원구 창직로29번길 30 (사창동 (1층)),
317,일반음식점,뉴욕야시장, 청주시 서원구 1순환로674번길 38 (사창동 (1층)),
318,일반음식점,병정문어볼, 청주시 서원구 1순환로674번길 72 (사창동),
319,일반음식점,굽네치킨사창 사직2점, 청주시 서원구 사직대로144번길 35-2  1층 (사창동),
320,일반음식점,좋은맛집, 청주시 서원구 예체로7번길 44  삼익아파트A동상가  108 109 110 111호 (개신동),
321,일반음식점,맛있는숯불구이, 청주시 서원구 예체로67번길 30 (사창동 (1층)),
322,일반음식점,비원, 청주시 서원구 내수동로 115 (사창동 (지하1층)),
323,일반음식점,컴힐(COMHILL), 청주시 서원구 내수동로102번길 52  지하1층~1층 (사창동),
324,일반음식점,베로분식에스프레소, 청주시 서원구 1순환로674번길 66 (사창동 (1층)),
325,일반음식점,엉클스, 청주시 서원구 성봉로169번길 47-1 (개신동  (1층)),
326,일반음식점,청천순대, 청주시 서원구 창직로 18 (사창동 외1필지(1층)),
327,일반음식점,두메나산골, 청주시 서원구 내수동로 151 (사창동),
328,일반음식점,막창선생, 청주시 서원구 예체로19번길 7 (개신동 (1층)),
329,일반음식점,원호연의뚝썩삼겹살, 청주시 서원구 1순환로704번길 42 (사창동 (1층)),
330,일반음식점,종가대박집, 청주시 서원구 1순환로674번길 16 (사창동 (2층)),
331,일반음식점,본죽 청주사창점, 청주시 서원구 사직대로 125-1  1층 (사창동),
332,일반음식점,개신상회, 청주시 서원구 복대로17번길 7-31 (개신동 (2층)),
333,일반음식점,포차플레잉, 청주시 서원구 1순환로 678  1층 (사창동),
334,일반음식점,스트릿츄러스 충북대점, 청주시 서원구 1순환로674번길 3  1층 (사창동),
335,일반음식점,약선족발, 청주시 서원구 사직대로164번길 59 (사창동 (1층)),
336,일반음식점,설빙충북대점, 청주시 서원구 1순환로674번길 3 (사창동 (2 3층)),
337,일반음식점,부산할매수육국밥.냉면, 청주시 서원구 1순환로 669  1층 (사창동),
338,일반음식점,골목식당, 청주시 서원구 서부로1465번길 28-3  1층 (개신동),
339,일반음식점,삼구 포차, 청주시 서원구 1순환로672번길 30 (사창동 (3 4층)),
340,일반음식점,이모네김밥, 청주시 서원구 모충로 18  1층 (개신동),
341,일반음식점,코리아닭발, 청주시 서원구 1순환로680번길 5 (사창동 (1층)),
342,일반음식점,아쿠아횟집, 청주시 서원구 예체로 11  1층 (개신동),
343,일반음식점,매전, 청주시 서원구 1순환로672번길 48 (사창동  (지하1층)),
344,일반음식점,심봉사 도로케, 청주시 서원구 창신로 39  1층 (사창동),
345,일반음식점,sazio(충만한), 청주시 서원구 모충로25번길 22  1층 (개신동),
346,일반음식점,구르만, 청주시 서원구 사직대로99번길 7  평화빌라 1층 (사창동),
347,일반음식점,카페인, 청주시 서원구 내수동로114번길 18  2층 (사창동),
348,일반음식점,김밥나라개신점, 청주시 서원구 모충로 17  1층 (개신동),
349,일반음식점,열두시(12:00AM), 청주시 서원구 1순환로672번길 34  지하1층 (사창동),
350,일반음식점,우즈벡임, 청주시 서원구 1순환로672번길 52 (사창동 (2층)),
351,일반음식점,오주 개신점, 청주시 서원구 모충로 33-1 (개신동),
352,일반음식점,광릉불고기, 청주시 서원구 1순환로 763  1층 (개신동),
353,일반음식점,순희보리밥집, 청주시 서원구 창신로26번길 3  1층 (사창동),
354,일반음식점,북경탕수육, 청주시 서원구 내수동로 130  상가동 103호 (사창동 평화아파트),
355,일반음식점,압구정봉구비어개신점, 청주시 서원구 모충로 33-1 (개신동  외1필지(1층)),
356,일반음식점,콤마, 청주시 서원구 1순환로 664  2층 (사창동),
357,일반음식점,BHC(비에이치씨), 청주시 서원구 예체로 86 (사창동  (1층)),
358,일반음식점,착한순대, 청주시 서원구 예체로19번길 8  A동 1층 101 102호 (개신동),
359,일반음식점,포항막회, 청주시 서원구 모충로 48-1  가2동 1층 (개신동),
360,일반음식점,페리카나피친호프, 청주시 서원구 장구봉로 130 (개신동 (1층)),
361,일반음식점,현고들깨손칼국수, 청주시 서원구 성봉로220번길 16  가동 1층 (개신동),
362,일반음식점,브라보치킨피자청주성안길점, 청주시 서원구 예체로 96-1  1층 (사창동),
363,일반음식점,신반장의 한양 참숯 뒷고기, 청주시 서원구 1순환로648번길 5-3  1층 (사창동),
364,일반음식점,이조가, 청주시 서원구 복대로 15  1층 (개신동),
365,일반음식점,김밥천국, 청주시 서원구 복대로 27  1층 103호 (개신동),
366,일반음식점,피자헛 청주가경점, 청주시 서원구 복대로 13  1층 101 일부호 (개신동),
367,일반음식점,반하다, 청주시 서원구 복대로 27  1층 101 102호 (개신동),
368,일반음식점,투다리개신점, 청주시 서원구 신율로 59-1  1층 (개신동),
369,일반음식점,피자마루(가경.개신1호점), 청주시 서원구 경신로 31-30  104호 (개신동),
370,일반음식점,일순이네 매운양념 왕족발 보쌈, 청주시 서원구 복대로17번길 27  1층 102호 (개신동  어웰빌리지),
371,일반음식점,친구네, 청주시 서원구 경신로 33  1층 (개신동),
372,일반음식점,대게나라, 청주시 서원구 성봉로 155  1층 (개신동),
373,일반음식점,명품낙지, 청주시 서원구 성봉로169번길 47-20  1층 (개신동),
374,일반음식점,모녀가굽는고기, 청주시 서원구 신율로 2  1층 (개신동),
375,일반음식점,성화루, 청주시 서원구 성봉로169번길 47-26  1층 (개신동),
376,일반음식점,맘죽, 청주시 서원구 경신로 31-4  1층 (개신동),
377,일반음식점,감탄개신점, 청주시 서원구 경신로 40  1층 (개신동),
378,일반음식점,고향칼국수, 청주시 서원구 신율로53번길 10  1층 (개신동),
379,일반음식점,에제르 푸드시스템, 청주시 서원구 복대로17번길 11  1층 105호 (개신동),
380,일반음식점,옹기촌, 청주시 서원구 복대로17번길 8  1~2층 (개신동),
381,일반음식점,디 초콜릿 커피  전문점, 청주시 서원구 모충로 48  1층 (개신동),
382,일반음식점,백천횟집, 청주시 서원구 신율로53번길 10  1층 (개신동),
383,일반음식점,증평은성집, 청주시 서원구 신율로53번길 12 (개신동  (1층)),
384,일반음식점,우리아빠닭강정, 청주시 서원구 복대로 31  갤러리타워 110호 (개신동),
385,일반음식점,안면도바지락칼국수, 청주시 서원구 성봉로169번길 47-5  1층 (개신동),
386,일반음식점,만두랑 칼국수, 청주시 서원구 복대로 7  1층 107호 (개신동),
387,일반음식점,뚝배기식당, 청주시 서원구 복대로 19  1층 101호 (개신동  매직타워),
388,일반음식점,더존김밥, 청주시 서원구 경신로 65  청주개신주공(1)단지 상가A동 1층 103호 (개신동),
389,일반음식점,엠알(MR)호프, 청주시 서원구 복대로17번길 27  1층 101호 (개신동  어웰빌리지),
390,일반음식점,무한美(미)소, 청주시 서원구 신율로53번길 4 (개신동 (1층)),
391,일반음식점,명품유황오리, 청주시 서원구 성봉로 167  1층 (개신동),
392,일반음식점,강유진 화닭 개신점, 청주시 서원구 신율로 59-1  1층 (개신동),
393,일반음식점,홍어전문점 홍어사랑, 청주시 서원구 성봉로169번길 33-15  1층 (개신동),
394,일반음식점,국민포차, 청주시 서원구 모충로 17  1층 (개신동),
395,일반음식점,서리서리 멸치국수 개신성화점, 청주시 서원구 복대로 7  대상마스터빌딩 1층 110호 (개신동),
396,일반음식점,다누끼, 청주시 서원구 복대로 19  1층 107호 (개신동  매직타워),
397,일반음식점,반도수산, 청주시 서원구 성봉로 167  1층 (개신동),
398,일반음식점,소문난춘천닭갈비, 청주시 서원구 경신로 32-3  1층 (개신동),
399,일반음식점,노군꼬치개신점, 청주시 서원구 신율로 49  1층 104호 (개신동  레몬타워),
400,일반음식점,단골손님, 청주시 서원구 1순환로672번길 42  1층 (사창동),
401,일반음식점,대박뒷고기, 청주시 서원구 예체로67번길 24  1층 (사창동),
402,일반음식점,고래해물포차, 청주시 서원구 내수동로 167  1층 (사창동),
403,일반음식점,한남동 그집(충북대점), 청주시 서원구 1순환로672번길 45  2층 (사창동),
404,일반음식점,일미리 금계찜닭, 청주시 서원구 1순환로622번길 3  1층 (사창동),
405,일반음식점,그날의 분위기, 청주시 서원구 1순환로672번길 51  3층 (사창동),
406,일반음식점,치킨더홈(사창점), 청주시 서원구 창직로 13-2  1층 (사창동),
407,일반음식점,간바레  간바로우!, 청주시 서원구 1순환로709번길 6  1층 (사창동),
408,일반음식점,봉대박스파게티 충북대점, 청주시 서원구 내수동로102번길 36  2층 (사창동),
409,일반음식점,크라운호프 충북대점, 청주시 서원구 내수동로108번길 11  1층 (사창동),
410,일반음식점,눈물떡볶이, 청주시 서원구 천수로17번길 3  1층 (사창동),
411,일반음식점,해송족발, 청주시 서원구 모충로 43  1층 (개신동),
412,일반음식점,킴스부리또, 청주시 서원구 내수동로 143  2층 (사창동),
413,일반음식점,삼거리 포장마차, 청주시 서원구 1순환로672번길 17  1층 (사창동),
414,일반음식점,효경식당, 청주시 서원구 장구봉로 136 (개신동 (1층)),
415,일반음식점,우리집칼국수, 청주시 서원구 봉명로 236 (사창동  (1층)),
416,일반음식점,한가네짬뽕, 청주시 서원구 1순환로672번길 53  2층 (사창동),
417,일반음식점,맵닭과 사거리포차, 청주시 서원구 1순환로704번길 73  1층 (사창동),
418,일반음식점,햇살머믄 꼬마김밥 사창점, 청주시 서원구 내수동로 165-1  1층 (사창동),
419,일반음식점,뽈엔막뒷고기, 청주시 서원구 창신로 43  1층 (사창동),
420,일반음식점,포차데이데이데이, 청주시 서원구 내수동로108번길 22  1층 (사창동),
421,일반음식점,포차데이데이데이2, 청주시 서원구 내수동로108번길 22  2층 (사창동),
422,일반음식점,화랑각, 청주시 서원구 봉명로132번길 31  1층 (사창동),
423,일반음식점,큰손칼국수.보쌈, 청주시 서원구 내수동로 145 (사창동 A동 (1층)),
424,일반음식점,배마루, 청주시 서원구 1순환로674번길 12 (사창동  (3층)),
425,일반음식점,놀부부대찌개철판구이중문점, 청주시 서원구 내수동로114번길 9  1층 (사창동),
426,일반음식점,무노, 청주시 서원구 1순환로 682 (사창동 (3층)),
427,일반음식점,용우동 청주사창점, 청주시 서원구 사직대로 120  1층 (사창동),
428,일반음식점,로얄생고기, 청주시 서원구 봉명로 238-1  1층 (사창동),
429,일반음식점,통비어, 청주시 서원구 신율로 49  레몬타워 1층 112호 (개신동),
430,일반음식점,서당골, 청주시 서원구 1순환로674번길 12 (사창동  (2층)),
431,일반음식점,올갱이해장국, 청주시 서원구 모충로25번길 8  1층 (개신동),
432,일반음식점,수산시장, 청주시 서원구 장구봉로 148 (개신동 (1층)),
433,일반음식점,아름 정육식당, 청주시 서원구 예체로7번길 1  1층 (개신동),
434,일반음식점,고기구이마을, 청주시 서원구 신율로 49  1층 109호 110호 111호 (개신동  개신동레몬타워),
435,일반음식점,엣찌분식, 청주시 서원구 천석로 10-1  1층 (사창동),
436,일반음식점,우리집밥상, 청주시 서원구 내수동로 125 (사창동  (1층)),
437,일반음식점,섬진강, 청주시 서원구 사직대로175번길 46 (사창동 (1층)),
438,일반음식점,임창정의 소주한잔 충북대점, 청주시 서원구 1순환로672번길 23  1층 (사창동),
439,일반음식점,바른치킨 충북대점, 청주시 서원구 사직대로90번길 22 (사창동),
440,일반음식점,뒷풀이, 청주시 서원구 내수동로 130 (사창동  평화아파트상가 (1층9호)),
441,일반음식점,서울닭발, 청주시 서원구 모충로25번길 20  1층 (개신동),
442,일반음식점,반가네, 청주시 서원구 1순환로674번길 12  1층 (사창동),
443,일반음식점,육쌈냉면 충북대점, 청주시 서원구 1순환로672번길 64 (사창동  (2층)),
444,일반음식점,여기또오리, 청주시 서원구 성봉로 215  1층 (개신동),
445,일반음식점,명사순대 청주개신점, 청주시 서원구 성봉로220번길 171  1층 (개신동),
446,일반음식점,여섯주울, 청주시 서원구 내수동로 93 (사창동 (지하1층)),
447,일반음식점,면세상, 청주시 서원구 창직로12번길 38  1층 (사창동),
448,일반음식점,맥주바켓충북대점, 청주시 서원구 1순환로672번길 35  지하1층 (사창동),
449,일반음식점,마쯔리, 청주시 서원구 내수동로108번길 27  1층 (사창동),
450,일반음식점,부먹찍먹걍먹, 청주시 서원구 1순환로704번길 42-1  1층 (사창동),
451,일반음식점,올리브, 청주시 서원구 사직대로 140  2층 202호 203호 206호(일부) 208호(일부)호 (사창동),
452,일반음식점,지리산흑돼지, 청주시 서원구 내수동로 174 (사창동  A동 1층),
453,일반음식점,춤추는향기나무, 청주시 서원구 1순환로719번길 6-2  1층 (사창동),
454,일반음식점,닥스버블, 청주시 서원구 사직대로144번길 36 (사창동 (1층)),
455,일반음식점,황궁쟁반짜장, 청주시 서원구 1순환로704번길 36  1층 (사창동),
456,일반음식점,대령숙수추어탕, 청주시 서원구 모충로 42  1층 (개신동),
457,일반음식점,한복임한상차림, 청주시 서원구 모충로104번길 68-1  1층 (모충동),
458,일반음식점,본도시락 충북대점, 청주시 서원구 1순환로 700  1층 (사창동),
459,일반음식점,쏠로아떼, 청주시 서원구 대원로 58 (사직동),
460,일반음식점,대박생고기, 청주시 서원구 호국로13번길 3  1층 (모충동),
461,일반음식점,최대포갈매기살, 청주시 서원구 예체로19번길 4  1층 (개신동),
462,일반음식점,페리호 치킨, 청주시 서원구 쌍샘로 9-1 (모충동),
463,일반음식점,제이 앤 제이, 청주시 서원구 모충로35번길 3  2층 201호 (개신동),
464,일반음식점,안양등심해장국 , 청주시 서원구 사직대로 308-8  1층 (사직동),
465,일반음식점,청담동 말자싸롱, 청주시 서원구 모충로 13  1층 (개신동),
466,일반음식점,672 F&B, 청주시 서원구 1순환로672번길 53  1층 (사창동),
467,일반음식점,해물천지, 청주시 서원구 남들로 39-1  1층 (모충동),
468,일반음식점,속초코다리냉면, 청주시 서원구 현도면 청남로 481  현도타운3   1층,
469,일반음식점,등촌샤브칼국수, 청주시 서원구 사직대로134번길 3  1층 (사창동),
470,일반음식점,이삭토스트(서원대정문점), 청주시 서원구 무심서로 379  1층 (모충동),
471,일반음식점,신 황룡, 청주시 서원구 모충로26번길 5  2층 (개신동),
472,일반음식점,종가집손두부, 청주시 서원구 사직대로 308  1층 (사직동),
473,일반음식점,명인만두(사창사거리점), 청주시 서원구 1순환로 661 (사창동  1층),
474,일반음식점,청풍석갈비, 청주시 서원구 1순환로 1080-3  1층 (분평동),
475,일반음식점,바다양푼이동태탕찜, 청주시 서원구 남이면 척산2길 5  1층,
476,일반음식점,최부짱, 청주시 서원구 1순환로648번길 22  1층 (사창동),
477,일반음식점,여명일품식당, 청주시 서원구 사직대로164번길 27  1층 (사창동),
478,일반음식점,부송국수, 청주시 서원구 남이면 청남로 1334,
479,일반음식점,우일순대, 청주시 서원구 창신로31번길 11 (사창동 외 1필지(1층)),
480,일반음식점,착한(생)고기&쭈꾸미, 청주시 서원구 창직로12번길 88  1층 (개신동),
481,일반음식점,피치버스, 청주시 서원구 1순환로648번길 5  1층 (사창동),
482,일반음식점,부어치킨개신동점, 청주시 서원구 모충로 38  상가동 101호 (개신동  두진백로아파트),
483,일반음식점,도니스토리, 청주시 서원구 내수동로108번길 19  1층 (사창동),
484,일반음식점,육회지존, 청주시 서원구 1순환로704번길 78 (사창동 (1층)),
485,일반음식점,산골우렁쌈밥, 청주시 서원구 현도면 청남로 355,
486,일반음식점,백스비어 충북대중문점, 청주시 서원구 1순환로672번길 41  2층 (사창동),
487,일반음식점,맘스터치충대점, 청주시 서원구 1순환로 682  1층  SHOP #103호 (사창동  씨네타운),
488,일반음식점,푸짐한 시골쌈생고기, 청주시 서원구 용호로5번길 56  1층 (죽림동),
489,일반음식점,빙그레보쌈족발, 청주시 서원구 사북로 89  1층 (사직동),
490,일반음식점,울대마을, 청주시 서원구 성봉로220번길 51 (개신동  2),
491,일반음식점,까치식당, 청주시 서원구 호국로 93 (사직동 A동 (1층)),
492,일반음식점,달빛생고기전문, 청주시 서원구 충렬로 74  1층 2호 6호 (사직동),
493,일반음식점,도누가그릴, 청주시 서원구 내수동로108번길 15  1층 (사창동),
494,일반음식점,만수옥기사식당, 청주시 서원구 호국로 22  1층 (사직동),
495,일반음식점,맛나감자탕, 청주시 서원구 남들로35번길 31  1층 (모충동),
496,일반음식점,맘스터치 충대중문점, 청주시 서원구 내수동로102번길 36  1층 (사창동),
497,일반음식점,제주바다, 청주시 서원구 모충로 19  1층 (개신동),
498,일반음식점,제부도해물손칼국수, 청주시 서원구 사운로 170  1층 (사직동  토지합병(2005.11.23)으로 지번변경(2013.04.10)),
499,일반음식점,감녹관, 청주시 서원구 1순환로1063번길 111-2  1동 1층 (분평동),
500,일반음식점,미팅룸, 청주시 서원구 1순환로672번길 25  1층 (사창동  덕현빌딩),
501,일반음식점,아이벗치킨, 청주시 서원구 예체로 96  1층 (사창동),
502,일반음식점,1905자이언트몬스터피자인펍, 청주시 서원구 1순환로704번길 63  지하1층 (사창동),
503,일반음식점,조코만, 청주시 서원구 호국로38번길 3  1층 (사직동),
504,일반음식점,미소육개장, 청주시 서원구 구룡산로51번가길 24  1층 (성화동),
505,일반음식점,투다리개신점, 청주시 서원구 모충로 39  1층 (개신동),
506,일반음식점,끼니, 청주시 서원구 내수동로 164  1층 (사창동),
507,일반음식점,일미닭갈비 파전, 청주시 서원구 내수동로108번길 28  1층 (사창동),
508,일반음식점,소랑돼지랑, 청주시 서원구 호국로97번길 4  1층 (사직동),
509,일반음식점,삼이3.2해장국, 청주시 서원구 내수동로 109  1층 (사창동),
510,일반음식점,라라부엌, 청주시 서원구 창직로 47  1  2층 (사창동),
511,일반음식점,대풍생고기, 청주시 서원구 사직대로 190  1층 (사창동),
512,일반음식점,가마솥토종순대, ,
513,일반음식점,쾌걸동태탕, 청주시 서원구 대원로 53-2  1층 (사직동),
514,일반음식점,옛날주막집, 청주시 서원구 내수동로 174  1층 (사창동),
515,일반음식점,마을카페 이따, 청주시 서원구 사운로85번길 8  1층 (사직동),
516,일반음식점,짱이네, 청주시 서원구 사직대로 98 (사창동  (1층)),
517,일반음식점,강남왕순대, 청주시 서원구 1순환로1063번길 61-12  1층 (분평동),
518,일반음식점,한솔불고기, 청주시 서원구 쌍샘로 64 (모충동 (1층)),
519,일반음식점,통큰, 청주시 서원구 천수로8번길 1  1층 (사창동),
520,일반음식점,시골빈대떡, 청주시 서원구 장전로20번길 32  1층 (성화동),
521,일반음식점,코다차야 청주점, 청주시 서원구 1순환로672번길 31  2층 (사창동),
522,일반음식점,COSMOS(코스모스)우주, 청주시 서원구 1순환로 680  2층 (사창동),
523,일반음식점,명동생고기, 청주시 서원구 쌍샘로107번길 15  1층 (모충동),
524,일반음식점,백정, 청주시 서원구 1순환로672번길 62  2층 (사창동),
525,일반음식점,술꾼, 청주시 서원구 1순환로739번길 15  1층 (개신동),
526,일반음식점,성미아구찜, 청주시 서원구 사운로85번길 9  1층 (사직동),
527,일반음식점,그냥밥집, 청주시 서원구 1순환로709번길 5 (사창동  (1층)),
528,일반음식점,담아보기, 청주시 서원구 남이면 연청로 1247-8  1층,
529,일반음식점,피자꽁떼(모충점), 청주시 서원구 모충로96번길 24 (모충동  1층),
530,일반음식점,부산오뎅, 청주시 서원구 내수동로114번길 21 (사창동 (1층)),
531,일반음식점,칠돼지순대, 청주시 서원구 내수동로108번길 26  1층 (사창동),
532,일반음식점,동그랑땡, 청주시 서원구 호국로37번길 3  B동 1층 1호 (사직동  동원맨션),
533,일반음식점,쿠시야, 청주시 서원구 1순환로672번길 41  1층 (사창동),
534,일반음식점,참숯계림닭갈비, 청주시 서원구 모충로 31  1층 (개신동),
535,일반음식점,대박 커피엔 민물매운탕, 청주시 서원구 현도면 청남로 355  1층,
536,일반음식점,오자네왔는가개신점, 청주시 서원구 성봉로169번길 47-8  1층 (개신동),
537,일반음식점,한신포차(충북대중문점), 청주시 서원구 1순환로672번길 19  1층 (사창동),
538,일반음식점,부엌동자, 청주시 서원구 성봉로220번길 47-26  1층 (개신동),
539,일반음식점,대왕산막농장, 청주시 서원구 남이면 산막신촌길 59-14  1층,
540,일반음식점,태영숯불갈비, 청주시 서원구 내수동로 169  1층 (사창동),
541,일반음식점,전통전집 해란강, 청주시 서원구 호국로 94  1층 (사직동),
542,일반음식점,힘찬낙지, 청주시 서원구 예체로67번길 62  1층 (사창동),
543,일반음식점,에스텔 세계맥주, 청주시 서원구 창신로22번길 65-10  101동 1층 101호 (사창동  에스텔HOUSE),
544,일반음식점,쩔어떡볶이, 청주시 서원구 내수동로 103  1 2층 (사창동),
545,일반음식점,햇살생고기정육식당, 청주시 서원구 성봉로 174  1층 (개신동),
546,일반음식점,네네치킨개신점, 청주시 서원구 신율로 61  1층 (개신동),
547,일반음식점,토스트굽는사람들, 청주시 서원구 모충로 17 (개신동  1층),
548,일반음식점,이가네왕숯불갈비 , 청주시 서원구 예체로 15  1층 (개신동),
549,일반음식점,참치매니아, 청주시 서원구 모충로25번길 9  1층 (개신동),
550,일반음식점,우리식당, 청주시 서원구 내수동로 170  1층 (사창동),
551,일반음식점,본토막창, 청주시 서원구 모충로35번길 6 (개신동),
552,일반음식점,25시해장국, 청주시 서원구 모충로26번길 5  1층 (개신동),
553,일반음식점,아쭈, 청주시 서원구 예체로1번길 19  1층 (개신동),
554,일반음식점,적적, 청주시 서원구 내수동로 130  1층 상가 1호 (사창동  평화아파트),
555,일반음식점,꼬꼬맨치킨, 청주시 서원구 성봉로 226-15  1층 (개신동),
556,일반음식점,큰통치킨 사창점, 청주시 서원구 창직로 8  1층 103호 (사창동),
557,일반음식점,신용한우정육점사창점, 청주시 서원구 창신로 40  1층 (사창동),
558,일반음식점,웅이네 오돌뼈, 청주시 서원구 사직대로82번길 19  1층 (사창동),
559,일반음식점,까꿍떡볶이, 청주시 서원구 내수동로 101 (사창동  (1층)),
560,일반음식점,청주마당쇠떡갈비, 청주시 서원구 성봉로 211 (개신동  (1층)),
561,일반음식점,뿌리, 청주시 서원구 모충로 49 (개신동 (지하1층)),
562,일반음식점,쉐인, 청주시 서원구 봉명로228번길 3 (사창동 (1층)),
563,일반음식점,삼겹돼학교, 청주시 서원구 내수동로 125-1  1층 (사창동),
564,일반음식점,뱃놈, 청주시 서원구 서부로 1459  1층 (개신동),
565,일반음식점,부대통령뚝배기 충북대중문점, 청주시 서원구 내수동로102번길 46  2층 (사창동),
566,일반음식점,세뚜리동죽칼국수, 청주시 서원구 내수동로 161  1층 (사창동),
567,일반음식점,아르떼 충북대점, 청주시 서원구 내수동로102번길 54  1층 (사창동),
568,일반음식점,옥향, 청주시 서원구 창신로32번길 48  1층 (사창동),
569,일반음식점,돈뭉치줘유, 청주시 서원구 모충로 43  1층 (개신동),
570,일반음식점,와와떡볶이, 청주시 서원구 1순환로672번길 26 (사창동  (1층)),
571,일반음식점,이루다낙곱새전문점, 청주시 서원구 1순환로672번길 7  2층 (사창동),
572,일반음식점,첨, 청주시 서원구 1순환로672번길 34  3층 (사창동),
573,일반음식점,꾼떡, 청주시 서원구 창직로35번길 6 (사창동  (1층)),
574,일반음식점,청춘국물닭발, 청주시 서원구 1순환로694번길 13  1층 (사창동  고은빌),
575,일반음식점,반객, 청주시 서원구 성봉로 186  1층 (개신동),
576,일반음식점,사탄곱창, 청주시 서원구 창신로25번길 6 (사창동 (1층)),
577,일반음식점,해물 너. 찜했어, 청주시 서원구 장구봉로 140  1층 (개신동),
578,일반음식점,오징어바다, 청주시 서원구 내수동로114번길 18  1층 (사창동),
579,일반음식점,주거래처, 청주시 서원구 1순환로674번길 21  1층 (사창동),
580,일반음식점,충북대학교병원장례예식장, 청주시 서원구 1순환로 776  지하1층 1층 2층 (개신동),
581,일반음식점,공차 충북대점, 청주시 서원구 1순환로672번길 64  1층 (사창동),
582,일반음식점,라 쿵푸, 청주시 서원구 1순환로680번길 23 (사창동  (1층)),
583,일반음식점,역전할머니 맥주(충북대점), 청주시 서원구 1순환로704번길 75  1층 (사창동),
584,일반음식점,이가식당버섯전문점, 청주시 서원구 예체로1번길 11  1층 (개신동),
585,일반음식점,빈잔의 자유, 청주시 서원구 모충로 27-1  2층 (개신동),
586,일반음식점,평양28(이십팔), 청주시 서원구 모충로25번길 23  1층 (개신동),
587,일반음식점,평민닭발 충북대2호점, 청주시 서원구 내수동로114번길 36  1층 (사창동),
588,일반음식점,병천토종순대, 청주시 서원구 개신동 1번지 35호  ,
589,일반음식점,에덴, 청주시 서원구 창신로 43  1층 (사창동),
590,일반음식점,Routine759(루틴759), 청주시 서원구 1순환로 759  1층 (개신동),
591,일반음식점,동해반점, 청주시 서원구 창신로25번길 6 (사창동 (1층)),
592,일반음식점,숯겹살집개신점, 청주시 서원구 예체로7번길 45  1층 (개신동),
593,일반음식점,북경깐풍기, 청주시 서원구 내수동로108번길 40  1층 (사창동),
594,일반음식점,버거킹충북대점, 청주시 서원구 1순환로 665-1  A동 1  2층 (사창동),
595,일반음식점,동래관, 청주시 서원구 1순환로674번길 26  1층 (사창동),
596,일반음식점,작은마을 영양촌, 청주시 서원구 성봉로 190  1층 (개신동),
597,일반음식점,피아노룸블링, 청주시 서원구 1순환로672번길 26  3층 (사창동),
598,일반음식점,피아노룸블링Ⅱ, 청주시 서원구 1순환로672번길 26  4층 (사창동),
599,일반음식점,일방통행국물떡볶이&화덕피자, 청주시 서원구 내수동로 130  1층 5호 (사창동  평화아파트),
600,일반음식점,송림갈비, 청주시 서원구 장구봉로144번길 4  1층 (개신동),
601,일반음식점,바다향, 청주시 서원구 내수동로 136  1층 (사창동),
602,일반음식점,닭발에소주한잔, 청주시 서원구 내수동로 167 (사창동  (1층)),
603,일반음식점,봉추찜닭(충대중문점), 청주시 서원구 내수동로114번길 7  1층 (사창동),
604,일반음식점,옛날할머니보리밥집, 청주시 서원구 내수동로 165-1  1층 (사창동),
605,일반음식점,울산아구찜, 청주시 서원구 사직대로176번길 26-1  1층 (사창동),
606,일반음식점,지코바치킨, 청주시 서원구 성봉로 226-19  1층 (개신동),
607,일반음식점,너구리, 청주시 서원구 1순환로672번길 49  2층 (사창동),
608,일반음식점,자담치킨&호프 Cafe (개신점), 청주시 서원구 성봉로 230-21  1층 (개신동),
609,일반음식점,꼬부리, 청주시 서원구 1순환로674번길 58  1층 (사창동),
610,일반음식점,대학통닭, 청주시 서원구 내수동로 136 (사창동 266-3.270-3),
611,일반음식점,한마음정육식당Ⅱ, 청주시 서원구 1순환로674번길 24  1층 (사창동),
612,일반음식점,이찌방, 청주시 서원구 1순환로672번길 33  1층 (사창동),
613,일반음식점,개신동해장국, 청주시 서원구 모충로 16  2층 (개신동),
614,일반음식점,마시33, 청주시 서원구 1순환로648번길 5  1층 (사창동),
615,일반음식점,짚신 스시&롤, 청주시 서원구 1순환로674번길 14  1층 (사창동),
616,일반음식점,옛날칼국수, 청주시 서원구 성봉로 226-9  1층 (개신동),
617,일반음식점,안동본가국밥(사창점), 청주시 서원구 1순환로648번길 2  1 2층 (사창동),
618,일반음식점,형섭이네피자, 청주시 서원구 성봉로 234-1  1층 (개신동),
619,일반음식점,투다리개신3호점, 청주시 서원구 성봉로 213-1  1층 (개신동),
620,일반음식점,또바기 국수, 청주시 서원구 사직대로 160  두진 하트리움에덴 107호 (사창동),
