연번,업종명,업소명,소     재     지,면적(㎡)
70,일반음식점,반가츠, 청주시 서원구 복대로 31  갤러리타워 1층 107호 (개신동),804
71,일반음식점,일이네석쇠불고기, 청주시 서원구 사직대로144번길 35-2  1층 103호 (사창동),167
72,일반음식점,은화수식당 충북대점, 청주시 서원구 내수동로102번길 40  1층 (사창동),150
73,일반음식점,동대문떡볶이 동떡충북대점, 청주시 서원구 1순환로 682  1층 SHOP#103호 (사창동),906
74,일반음식점,헝그리브라더스 필라프앤파스타 사창점, 청주시 서원구 사직대로157번길 29  1층 (사창동),97
75,일반음식점,쭈닭, 청주시 서원구 예체로1번길 43  1층 (개신동),61
76,일반음식점,사사삼에스티(443st), 청주시 서원구 1순환로674번길 26  2층 (사창동),239
77,일반음식점,고수의 비법, 청주시 서원구 사직대로82번길 21  1층 (사창동),127
78,일반음식점,동감(同感), 청주시 서원구 창직로 45-1  1층 (사창동),62
79,일반음식점,충대가맥, 청주시 서원구 내수동로102번길 50  4층 (사창동),270
80,일반음식점,브라더스, 청주시 서원구 1순환로694번길 12  1층 102호 (사창동),226
81,일반음식점,대동집충북대점, 청주시 서원구 1순환로672번길 31  1층 (사창동),267
82,일반음식점,달아래, 청주시 서원구 1순환로674번길 21  2층 (사창동),254
83,일반음식점,그루브, 청주시 서원구 1순환로672번길 42  지하1층 (사창동),166
84,일반음식점,60계치킨 수곡개신점, 청주시 서원구 모충로 9  1층 103호 (개신동),121
85,일반음식점,맨션드도쿄, 청주시 서원구 1순환로674번길 18  2층 (사창동),102
86,일반음식점,맛있는 정원, 청주시 서원구 복대로17번길 23  1층 101호 (개신동  빌라),
87,일반음식점,귀한자식 수제생통까스, 청주시 서원구 복대로17번길 11  104호 (개신동),
88,일반음식점,계화옛날통닭, 청주시 서원구 예체로 85-2  1층 (사창동),
89,일반음식점,Bo on (본), 청주시 서원구 1순환로672번길 25  지하1층 (사창동),
90,일반음식점,불난주막, 청주시 서원구 1순환로672번길 45  1층 (사창동),
91,일반음식점,떡보라, 청주시 서원구 내수동로 157  1층 (사창동),
92,일반음식점,곱깨비(충북대점), 청주시 서원구 모충로3번길 81  1층 109호 (개신동  한진아파트),
93,일반음식점,제이푸드 출장음식, 청주시 서원구 1순환로 785  송학삼익맨션상가동 2층 201호 (개신동),
94,일반음식점,배달의황제, 청주시 서원구 1순환로709번길 5  1층 (사창동),
95,일반음식점,초동분식, 청주시 서원구 창신로31번길 16  1층 (사창동),
96,일반음식점,대도, 청주시 서원구 천석로14번길 17  1층 (사창동),
97,일반음식점,조선옥, 청주시 서원구 성봉로 157  1층 (개신동)[*미고시],
98,일반음식점,신서방 교자만두, 청주시 서원구 창신로31번길 11  1층 (사창동),
99,일반음식점,옛날칼국수, 청주시 서원구 내수동로 162-1  1층 (사창동),
100,일반음식점,94포차, 청주시 서원구 예체로19번길 7  1층 101호 (개신동),
101,일반음식점,라비올레, 청주시 서원구 1순환로638번길 50  1층 (사창동),
102,일반음식점,혼자먹어도 맛있는족, 청주시 서원구 사직대로164번길 48  1층 102호 (사창동),
103,일반음식점,인사동손칼국수손만두, 청주시 서원구 예체로67번길 73  1층 (사창동),
104,일반음식점,불스떡볶이, 청주시 서원구 천수로 23  1층 (사창동),
105,일반음식점,한솥청주개신중앙점, 청주시 서원구 복대로 15  1층 (개신동),
106,일반음식점,제이라운지, 청주시 서원구 1순환로672번길 10  3층 (사창동),
107,일반음식점,정견, 청주시 서원구 1순환로674번길 22  1층 (사창동),
108,일반음식점,청년맥주, 청주시 서원구 천석로14번길 17  1층 (사창동),
109,일반음식점,동래호프, 청주시 서원구 1순환로672번길 22  1층 (사창동),
110,일반음식점,산이포장마차, 청주시 서원구 성봉로220번길 24  1층 (개신동),
111,일반음식점,바흐트, 청주시 서원구 1순환로 661-1  2층 (사창동),
